Title,Production company,Distributed by,Release date,Running time,Country,Language,Box office,Directed by,Written by,Based on,Produced by,Starring,Music by,Release dates,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Color process,Genre,Created by,Country of origin,No. of seasons,No. of episodes,Production companies,Adaptation by,Layouts by,Original concept by,Original language,Born,Died,Cause of death,Resting place,Alma mater,Occupation,Years active,Board member of,,Children,Awards,Music,Lyrics,Book,Basis,Productions,Original work,Owner,First appearance,Last appearance,Years,Education,Known for,Nationality,Employer,Notable work,Website
"Honey, I Blew Up the Kid",,Buena Vista Pictures,"['July 17, 1992']",89 minutes,United States,English,$96 million,Randal Kleiser,,"['Stuart Gordon', 'Brian Yuzna', 'Ed Naha']","['Dawn Steel', 'Edward S. Feldman']","['Rick Moranis', 'Marcia Strassman', 'Lloyd Bridges', 'Robert Oliveri', 'John Shea']",Bruce Broughton,,$32 million,Garry Goodrow,,John Hora,"['Michael A. Stevenson', 'Harry Hitner']",,"['Garry Goodrow', 'Thom Eberhardt', 'Peter Elbling']",,,,,,,,"['Walt Disney Pictures', 'Touchwood Pacific Partners']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mighty Ducks,,Buena Vista Pictures,"['October 2, 1992']",104 minutes,United States,English,$50.8 million,Stephen Herek,Steven Brill,,"['Jon Avnet', 'Jordan Kerner']","['Emilio Estevez', 'Joss Ackland', 'Lane Smith', 'Jussie Smollett']",David Newman,,$14 million,,,Thomas Del Ruth,"['Larry Brock', 'John F. Link']",,,,,,,,,,"['Walt Disney Pictures', 'Avnet– Kerner Productions', 'Touchwood Pacific Partners']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aladdin,,Buena Vista Pictures,"['November 11, 1992']",90 minutes,United States,English,$504.1 million,"['John Musker', 'Ron Clements']",,Aladdin and the Magic Lamp from One Thousand and One Nights,"['John Musker', 'Ron Clements']","['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Frank Welker', 'Gilbert Gottfried', 'Douglas Seale']",Alan Menken,,$28 million,"['Burny Mattinson', 'Roger Allers', 'Daan Jippes', 'Kevin Harkey', 'Sue Nichols', 'Francis Glebas', 'Darrell Rooney', 'Larry Leker', 'James Fujii', 'Kirk Hanson', 'Kevin Lima', 'Rebecca Rees', 'David S. Smith', 'Chris Sanders', 'Brian Pimental', 'Patrick A. Ventura']",,,H. Lee Peterson,,"['Ron Clements', 'John Musker', 'Ted Elliott', 'Terry Rossio']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Muppet Christmas Carol,,Buena Vista Pictures Distribution,"['December 11, 1992']",86 minutes,United States,English,$27.2 million,Brian Henson,,"['A Christmas Carol', 'by', 'Charles Dickens', 'The Muppets', 'by', 'Jim Henson']","['Brian Henson', 'Martin G. Baker']","['Michael Caine', 'Dave Goelz', 'Steve Whitmire', 'Frank Oz', 'Jerry Nelson']",Miles Goodman,,$12 million,,,John Fenner,Michael Jablow,,Jerry Juhl,,,,,,,,"['Walt Disney Pictures', 'Jim Henson Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeward Bound: The Incredible Journey,Walt Disney Pictures,Buena Vista Pictures,"February 3, 1993",84 minutes,United States,English,$57 million,Duwayne Dunham,,"['The Incredible Journey', 'by', 'Sheila Burnford']","['Jeffrey Chernov', 'Franklin R. Levy']","['Michael J. Fox', 'Don Ameche', 'Sally Field', 'Robert Hays', 'Kim Greist', 'Veronica Lauren', 'Kevin Chevalia', 'Benj Thall']",Bruce Broughton,,,,,Reed Smoot,Jonathan P. Shaw,,"['Caroline Thompson', 'Linda Woolverton', 'Jonathan Roberts', ')']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Far Off Place,,Buena Vista Pictures,"['March 12, 1993']",108 minutes,United States,English,$12.9 million,Mikael Salomon,,"['A Story Like the Wind', 'and', 'A Far Off Place', 'by', 'Laurens van der Post']","['Eva Monley', 'Elaine Sperber']","['Reese Witherspoon', 'Ethan Randall', 'Jack Thompson', 'Maximilian Schell']",James Horner,,,,,Juan Ruiz Anchía,Ray Lovejoy,,"['Robert Caswell', 'Jonathan Hensleigh', 'Sally Robinson']",,,,,,,,"['Walt Disney Pictures', 'Amblin Entertainment', 'Touchwood Pacific Partners']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventures of Huck Finn,Walt Disney Pictures,Buena Vista Pictures,"['April 2, 1993']",107 minutes,United States,English,$24.1 million,Stephen Sommers,,"['Adventures of Huckleberry Finn', 'by', 'Mark Twain']","['John Baldecchi', 'Steve White']","['Elijah Wood', 'Courtney B. Vance', 'Robbie Coltrane', 'Jason Robards']",Bill Conti,,$6.5 million,,,Janusz Kamiński,Bob Ducsay,,Stephen Sommers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hocus Pocus,Walt Disney Pictures,Buena Vista Pictures,"['July 16, 1993']",96 minutes,United States,English,$45.4 million,Kenny Ortega,,,"['David Kirschner', 'Steven Haft']","['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz', 'Thora Birch', 'Vinessa Shaw']",John Debney,,$28 million,"['David Kirschner', 'Mick Garris']",,Hiro Narita,Peter E. Berger,,"['Mick Garris', 'Neil Cuthbert']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cool Runnings,Walt Disney Pictures,Buena Vista Pictures,"['October 1, 1993']",98 minutes,United States,English,$154.9 million,Jon Turteltaub,,,"['Dawn Steel', 'Chris Meledandri']","['John Candy', 'Leon Robinson', 'Doug E. Doug', 'Malik Yoba']",Hans Zimmer,,$17 million,"['Lynn Siefert', 'Michael Ritchie']",,Phedon Papamichael,Bruce Green,,"['Lynn Siefert', 'Tommy Swerdlow', 'Michael Goldberg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Three Musketeers,,Buena Vista Pictures,"['November 12, 1993']",105 minutes,,English,$111 million,Stephen Herek,,['by'],"['Joe Roth', 'Roger Birnbaum']","['Charlie Sheen', 'Kiefer Sutherland', ""Chris O'Donnell"", 'Oliver Platt', 'Tim Curry', 'Rebecca De Mornay', 'Gabrielle Anwar']",Michael Kamen,,$30 million,,,Dean Semler,John F. Link,,David Loughery,"['United States', 'Austria']",,,,,,,"['Walt Disney Pictures', 'Caravan Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Will,Walt Disney Pictures,Buena Vista Pictures,"['January 14, 1994']",108 minutes,United States,English,$21 million,Charles Haid,"['John Michael Hayes', 'Djordje Milicevic', 'Jeff Arch']",,"['Patrick Palmer', 'Robert Schwartz']","['Mackenzie Astin', 'Kevin Spacey', 'David Ogden Stiers']",Joel McNeely,,,,,William Wages,Andrew Doerfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank Check,Walt Disney Pictures,Buena Vista Pictures,"['February 11, 1994']",94 minutes,United States,English,$39 million,Rupert Wainwright,"['Blake Snyder', 'Colby Carr']",,"['Gary Adelson', 'Craig Baumgarten', 'Tony Shimkin']","['Brian Bonsall', 'Karen Duffy', 'Miguel Ferrer', 'James Rebhorn', 'Tone Lōc', 'Jayne Atkinson', 'Michael Lerner']",Nicholas Pike,,$13 million,,,Bill Pope,"['Hubert de la Bouillerie', 'Jill Savitt']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2: The Mighty Ducks,,Buena Vista Pictures,"['March 25, 1994']",106 minutes,United States,English,$45.6 million,Sam Weisman,Steven Brill,"['Characters', 'by Steven Brill']","['Jon Avnet', 'Jordan Kerner']","['Emilio Estevez', 'Michael Tucker', 'Jan Rubeš', 'Kathryn Erbe']",J. A. C. Redford,,,,,Mark Irwin,"['John F. Link', 'Eric Sears']",,,,,,,,,,"['Walt Disney Pictures', 'Avnet–Kerner Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Fang 2: Myth of the White Wolf,Walt Disney Pictures,Buena Vista Pictures,"['April 15, 1994']",102 minutes,United States,English,"$8,878,839 (US)",Ken Olin,David Fallon,,Preston Fischer,"['Scott Bairstow', 'Charmaine Craig', 'Alfred Molina', 'Geoffrey Lewis']",John Debney,,,,,Hiro Narita,Elba Sanchez-Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lion King,,Buena Vista Pictures,"['June 15, 1994 (United States)']",88 minutes,United States,English,$968.5 million,"['Roger Allers', 'Rob Minkoff']",,,Don Hahn,"['Jonathan Taylor Thomas', 'Matthew Broderick', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly', 'Ernie Sabella', 'Nathan Lane', 'Robert Guillaume', 'Rowan Atkinson', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings', 'Madge Sinclair']",Hans Zimmer,,$45 million,"['Brenda Chapman', 'Barry Johnson', 'Andy Gaskill', 'Kevin Harkey', 'Tom Sito', 'Rick Maki', 'Burny Mattinson', 'Lorna Cook', 'Gary Trousdale', 'Jorgen Klubien', 'Larry Leker', 'Ed Gombert', 'Mark Kausler', 'Thom Enriquez', 'Jim Capobianco', 'Chris Sanders', 'Joe Ranft', 'Francis Glebas']",,,Ivan Bilancio,,"['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angels in the Outfield,,Buena Vista Pictures,"['July 15, 1994']",102 minutes,United States,English,$50.2 million,William Dear,,"['Angels in the Outfield', '1951 film', 'by', 'Dorothy Kingsley', 'George Wells']","['Irby Smith', 'Joe Roth', 'Roger Birnbaum']","['Danny Glover', 'Tony Danza', 'Brenda Fricker', 'Ben Johnson', 'Jay O. Sanders', 'Christopher Lloyd']",Randy Edelman,,$31 million,,,Matthew F. Leonetti,Bruce Green,,Holly Goldberg Sloan,,,,,,,,"['Walt Disney Pictures', 'Caravan Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squanto: A Warrior's Tale,Walt Disney Pictures,Buena Vista Pictures,"['October 28, 1994']",102 minutes,,English,"$3,337,685",Xavier Koller,Darlene Craviotto,,Kathryn F. Galan,"['Adam Beach', 'Michael Gambon', 'Nathaniel Parker', 'Mandy Patinkin']",Joel McNeely,,,,,Robbie Greenberg,"['Lisa Day', 'Gillian Hutshing']",,,"['United States', 'Canada']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Santa Clause,,Buena Vista Pictures,,97 minutes,United States,English,$189.8 million,John Pasquin,"['Leo Benvenuti', 'Steve Rudnick']",,"['Brian Reilly', 'Jeffrey Silver', 'Robert Newmyer']","['Tim Allen', 'Judge Reinhold', 'Wendy Crewson', 'David Krumholtz', 'Peter Boyle']",Michael Convertino,"['November 5, 1994 ( Hollywood )', 'November 11, 1994 (United States)']",$22 million,,,Walt Lloyd,Larry Bock,,,,,,,,,,"['Walt Disney Pictures', 'Hollywood Pictures', 'Outlaw Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudyard Kipling's The Jungle Book,,Buena Vista Pictures,"['December 21, 1994']",111 minutes,United States,English,$70.7 million,Stephen Sommers,,"['The Jungle Book', 'and', 'The Second Jungle Book', 'by', 'Rudyard Kipling']","['Edward S. Feldman', 'Raju Patel']","['Jason Scott Lee', 'Cary Elwes', 'Lena Headey', 'Sam Neill', 'John Cleese']",Basil Poledouris,,$30 million,"['Ronald Yanover', 'Mark Geldman']",,Juan Ruiz Anchía,Bob Ducsay,,"['Stephen Sommers', 'Ronald Yanover', 'Mark Geldman']",,,,,,,,"['Baloo Productions', 'Jungle Book Films', 'Walt Disney Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavyweights,,Buena Vista Pictures,"['February 17, 1995']",100 minutes,United States,English,$17.6 million,Steven Brill,"['Steven Brill', 'Judd Apatow']",,"['Roger Birnbaum', 'Joe Roth', 'Morgan Michael Fottrell', 'Charles J.D. Schlissel', 'Jack Giarraputo']","['Tom McGowan', 'Aaron Schwartz', 'Shaun Weiss', 'Tom Hodges', 'Leah Lail', 'Paul Feig', 'Kenan Thompson', 'David Bowe', 'Max Goldblatt', 'Robert Zalkind', 'Patrick LaBrecque', 'Jeffrey Tambor', 'Jerry Stiller', 'Anne Meara', 'Ben Stiller']",J. A. C. Redford,,,,,Victor Hammer,Carroll Timothy O'Meara,,,,,,,,,,"['Walt Disney Pictures', 'Caravan Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man of the House,,Buena Vista Pictures,"['March 3, 1995']",96 minutes,United States,English,"$40,070,995",James Orr,,,"['Bonnie Bruckheimer', 'Marty Katz']","['Chevy Chase', 'Farrah Fawcett', 'Jonathan Taylor Thomas', 'George Wendt']",Mark Mancina,,$22 million,"['David E. Peckinpah', 'Richard Jefferies']",Jonathan Taylor Thomas,Jamie Anderson,Harry Keramidas,,"['James Orr', 'Jim Cruickshank']",,,,,,,,"['Walt Disney Pictures', 'All Girl Productions', 'Orr & Cruickshank Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tall Tale,,Buena Vista Pictures,"['March 24, 1995']",96 minutes,United States,English,$11 million,Jeremiah S. Chechik,"['Steven L. Bloom', 'Robert Rodat']",,"['Joe Roth', 'Roger Birnbaum']","['Scott Glenn', 'Oliver Platt', 'Nick Stahl', 'Stephen Lang', 'Roger Aaron Brown', ""Catherine O'Hara"", 'Patrick Swayze']",Randy Edelman,,['$32 million'],,,Janusz Kamiński,Richard Chew,,,,,,,,,,"['Walt Disney Pictures', 'Caravan Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Goofy Movie,,Buena Vista Pictures Distribution,"['April 7, 1995']",78 minutes,United States,English,$37.6 million,Kevin Lima,,"['Robert Taylor', 'Michael Peraza Jr.']",Dan Rounds,"['Bill Farmer', 'Jason Marsden', 'Jim Cummings', 'Kellie Martin', 'Rob Paulsen', 'Wallace Shawn', 'Jenna von Oÿ']",Carter Burwell,,$18 million,Jymn Magon,,,Gregory Perler,,"['Jymn Magon', 'Chris Matheson', 'Brian Pimental']",,,,,,,,"['Walt Disney Pictures', 'Disney MovieToons', 'Walt Disney Television Animation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocahontas,,Buena Vista Pictures,"['June 16, 1995 (United States)']",81 minutes,United States,English,$346.1 million,"['Mike Gabriel', 'Eric Goldberg']","['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']",Pocahontas,Jim Pentecost,"['Joe Baker', 'Christian Bale', 'Irene Bedard', 'Billy Connolly', 'James Apaumut Fall', 'Mel Gibson', 'Linda Hunt', 'John Kassir', 'Judy Kuhn', 'Danny Mann', 'Russell Means', 'David Ogden Stiers', 'Michelle St. John', 'Gordon Tootoosis', 'Frank Welker']",Alan Menken,,$55 million,"['Glen Keane', 'Joe Grant', 'Ralph Zondag', 'Burny Mattinson', 'Ed Gombert', 'Kaan Kalyon', 'Francis Glebas', 'Robert Gibbs', 'Bruce Morris', 'Todd Kurosawa', 'Duncan Marjoribanks', 'Chris Buck']",,,H. Lee Peterson,,,,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Dumbo Drop,,Buena Vista Pictures,"['July 28, 1995']",108 minutes,,,"$24,670,346",Simon Wincer,,,"['Diane Nabatoff', 'David Madden']","['Danny Glover', 'Ray Liotta', 'Denis Leary', 'Doug E. Doug', 'Corin Nemec']",David Newman,,$24 million,Jim Morris,,Russell Boyd,O. Nicholas Brown,"['English', 'Vietnamese']","['Gene Quintano', 'Jim Kouf']",,,,,,,,"['Walt Disney Pictures', 'Interscope Communications', 'PolyGram Filmed Entertainment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Kid in King Arthur's Court,,['Buena Vista Pictures'],"['August 11, 1995']",89 minutes,,English,$13.4 million (domestic),Michael Gottlieb,"['Michael Part', 'Robert L. Levy']",,"['Peter Abrams', 'J.P. Guerin', 'Robert L. Levy']","['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik']",J. A. C. Redford,,$15 million,,,Elemér Ragályi,"['Anita Brandt-Burgoyne', 'Michael Ripps']",,,"['United Kingdom', 'United States']",,,,,,,"['Walt Disney Pictures', 'Trimark Pictures', 'Tapestry Films']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Green,,Buena Vista Pictures,"['September 27, 1995']",99 minutes,United States,English,$17.7 million,Holly Goldberg Sloan,Holly Goldberg Sloan,,"['Dennis Bishop', 'Roger Birnbaum']","['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",Randy Edelman,,$12 million,,,Ralf D. Bode,John F. Link,,,,,,,,,,"['Walt Disney Pictures', 'Caravan Pictures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank and Ollie,,Buena Vista Pictures,,89 minutes,United States,English,,Theodore Thomas,Theodore Thomas,,"['Kuniko Okubo', 'Theodore Thomas']","['Frank Thomas', 'Ollie Johnston']",John Reynolds,"['January 22, 1995 ( Sundance Film Festival )', 'October 20, 1995 (U.S.)']",,,,Erik Daarstad,Kathryn Camp,,,,,,,,,,"['Walt Disney Pictures', 'Theodore Thomas Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toy Story,,Buena Vista Pictures Distribution,,81 minutes,United States,English,$363 million,John Lasseter,,,"['Bonnie Arnold', 'Ralph Guggenheim']","['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten']",Randy Newman,"['November 19, 1995 ( El Capitan Theatre )', 'November 22, 1995 (United States)']",$30 million,"['John Lasseter', 'Pete Docter', 'Andrew Stanton', 'Joe Ranft']",,,"['Robert Gordon', 'Lee Unkrich']",,"['Joss Whedon', 'Andrew Stanton', 'Joel Cohen', 'Alec Sokolow']",,,,,,,,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom and Huck,Walt Disney Pictures,Buena Vista Pictures,"['December 22, 1995']",92 minutes,United States,English,$23.9 million (US),Peter Hewitt,,,"['Laurence Mark', 'Stephen Sommers']","['Jonathan Taylor Thomas', 'Brad Renfro']",Stephen Endelman,,,"['The Adventures of Tom Sawyer', 'by', 'Mark Twain']",,Bobby Bukowski,David Freeman,,"['Stephen Sommers', 'David Loughery']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muppet Treasure Island,,Buena Vista Pictures Distribution,"['February 16, 1996']",100 minutes,United States,English,$34.3 million (North America),Brian Henson,,"['Treasure Island', 'by', 'Robert Louis Stevenson', 'The Muppets', 'by', 'Jim Henson']","['Brian Henson', 'Martin G. Baker']","['Tim Curry', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson', 'Kevin Clash', 'Frank Oz']",Hans Zimmer,,$31 million,,,John Fenner,Michael Jablow,,"['Jerry Juhl', 'Kirk R. Thatcher', 'James V. Hart']",,,,,,,,"['Walt Disney Pictures', 'Jim Henson Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeward Bound II: Lost in San Francisco,Walt Disney Pictures,Buena Vista Pictures,"['March 8, 1996']",89 minutes,United States,English,$32.7 million,David R. Ellis,"['Chris Hauty', 'Julie Hickson']","['Characters', 'by', 'Sheila Burnford']",Barry Jossen,"['Michael J. Fox', 'Sally Field', 'Ralph Waite', 'Robert Hays', 'Kim Greist', 'Veronica Lauren', 'Kevin Chevalia', 'Benj Thall']",Bruce Broughton,,,,,Jack Conroy,"['Peter E. Berger', 'Michael A. Stevenson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James and the Giant Peach,,"['Buena Vista Pictures', 'Guild Film Distribution']",,79 minutes,,English,$37.7 million,Henry Selick,,"['James and the Giant Peach', 'by', 'Roald Dahl']","['Denise Di Novi', 'Tim Burton']","['Paul Terry', 'Simon Callow', 'Richard Dreyfuss', 'Jane Leeves', 'Joanna Lumley', 'Miriam Margolyes', 'Susan Sarandon', 'Pete Postlethwaite', 'David Thewlis']",Randy Newman,"['April 12, 1996 (United States)', 'August 2, 1996 (United Kingdom)']",$38 million,,,"['Pete Kozachik', 'Hiro Narita']",Stan Webb,,"['Karey Kirkpatrick', 'Jonathan Roberts', 'Steve Bloom']","['United Kingdom', 'United States']",,,,,,,"['Walt Disney Pictures', 'Allied Filmmakers', 'Skellington Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hunchback of Notre Dame,,Buena Vista Pictures,,91 minutes,United States,English,$325.3 million,"['Gary Trousdale', 'Kirk Wise']",,"['The Hunchback of Notre-Dame', 'by', 'Victor Hugo']",Don Hahn,"['Tom Hulce', 'Demi Moore', 'Tony Jay', 'Kevin Kline', 'Paul Kandel', 'Jason Alexander', 'Charles Kimbrough', 'Mary Wickes', 'David Ogden Stiers']",Alan Menken,"['June 19, 1996 (New Orleans)', 'June 21, 1996 (United States)']",$70 million,Tab Murphy,,,Ellen Keneshea,,"['Tab Murphy', 'Irene Mecchi', 'Bob Tzudiker', 'Noni White', 'Jonathan Roberts']",,,,,,,,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Kid,,Buena Vista Pictures,"['August 30, 1996']",101 minutes,United States,English,"$26,465,920 (USA)",David M. Evans,Tim Kelleher,,Roger Birnbaum,"['Sinbad', 'Robert Guillaume', 'Timothy Busfield']",Richard Gibbs,,$15 million,,,Anthony B. Richmond,Harry Keramidas,,,,,,,,,,"['Walt Disney Pictures', 'Caravan Pictures', 'Roger Birnbaum Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3: The Mighty Ducks,,Buena Vista Pictures,"['October 4, 1996']",104 minutes,United States,English,$22.9 million,Robert Lieberman,,"['Characters', 'by Steven Brill']","['Jordan Kerner', 'Jon Avnet']","['Emilio Estevez', 'Jeffrey Nordling', 'Heidi Kling', 'Joss Ackland']",J. A. C. Redford,,,"['Kenneth Johnson', 'Jim Burnstein']",,David Hennings,Patrick Lussier,,"['Steven Brill', 'Jim Burnstein']",,,,,,,,"['Walt Disney Pictures', 'Avnet-Kerner Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
